,target,lastAccelerometerValues[0]_mean_D,lastAccelerometerValues[1]_mean_D,lastAccelerometerValues[2]_mean_D,lastAccelerometerValues[0]_var_D,lastAccelerometerValues[1]_var_D,lastAccelerometerValues[2]_var_D,lastAccelerometerValues[0]_skew_D,lastAccelerometerValues[1]_skew_D,lastAccelerometerValues[2]_skew_D,lastAccelerometerValues[0]_kurtosis_D,lastAccelerometerValues[1]_kurtosis_D,lastAccelerometerValues[2]_kurtosis_D,lastGyroscopeValues[0]_mean_D,lastGyroscopeValues[1]_mean_D,lastGyroscopeValues[2]_mean_D,lastGyroscopeValues[0]_var_D,lastGyroscopeValues[1]_var_D,lastGyroscopeValues[2]_var_D,lastGyroscopeValues[0]_skew_D,lastGyroscopeValues[1]_skew_D,lastGyroscopeValues[2]_skew_D,lastGyroscopeValues[0]_kurtosis_D,lastGyroscopeValues[1]_kurtosis_D,lastGyroscopeValues[2]_kurtosis_D,lastMagnetometerValues[0]_mean_D,lastMagnetometerValues[1]_mean_D,lastMagnetometerValues[2]_mean_D,lastMagnetometerValues[0]_var_D,lastMagnetometerValues[1]_var_D,lastMagnetometerValues[2]_var_D,lastMagnetometerValues[0]_skew_D,lastMagnetometerValues[1]_skew_D,lastMagnetometerValues[2]_skew_D,lastMagnetometerValues[0]_kurtosis_D,lastMagnetometerValues[1]_kurtosis_D,lastMagnetometerValues[2]_kurtosis_D,lastAccelerometerValues[0]_mean_U,lastAccelerometerValues[1]_mean_U,lastAccelerometerValues[2]_mean_U,lastAccelerometerValues[0]_var_U,lastAccelerometerValues[1]_var_U,lastAccelerometerValues[2]_var_U,lastAccelerometerValues[0]_skew_U,lastAccelerometerValues[1]_skew_U,lastAccelerometerValues[2]_skew_U,lastAccelerometerValues[0]_kurtosis_U,lastAccelerometerValues[1]_kurtosis_U,lastAccelerometerValues[2]_kurtosis_U,lastGyroscopeValues[0]_mean_U,lastGyroscopeValues[1]_mean_U,lastGyroscopeValues[2]_mean_U,lastGyroscopeValues[0]_var_U,lastGyroscopeValues[1]_var_U,lastGyroscopeValues[2]_var_U,lastGyroscopeValues[0]_skew_U,lastGyroscopeValues[1]_skew_U,lastGyroscopeValues[2]_skew_U,lastGyroscopeValues[0]_kurtosis_U,lastGyroscopeValues[1]_kurtosis_U,lastGyroscopeValues[2]_kurtosis_U,lastMagnetometerValues[0]_mean_U,lastMagnetometerValues[1]_mean_U,lastMagnetometerValues[2]_mean_U,lastMagnetometerValues[0]_var_U,lastMagnetometerValues[1]_var_U,lastMagnetometerValues[2]_var_U,lastMagnetometerValues[0]_skew_U,lastMagnetometerValues[1]_skew_U,lastMagnetometerValues[2]_skew_U,lastMagnetometerValues[0]_kurtosis_U,lastMagnetometerValues[1]_kurtosis_U,lastMagnetometerValues[2]_kurtosis_U
0,0.0,0.105655669,9.653797,1.80397415,0.0118464425992,0.000340163666,0.137798981237,-0.806113641697,-0.71853693862,-0.909971113946,-0.982802154049,-1.05175736178,-0.805325256215,-0.049209594325,-0.05788421525,0.004554748575,0.00381163071578,0.00238664087703,0.000195922511933,-0.623161354946,-0.56090559414,0.758778025926,-1.17372994045,-1.28730684139,-1.04726897514,0.36621094,-43.06259125,14.77813725,0.00732136019027,0.0275257497417,0.00345403158969,1.14575764834,-0.0252793412674,0.00202072649903,-0.673680513632,-1.16063285144,-1.99663275624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.26457723,9.56834933333,1.96977743333,0.0078434260017,0.000916482973556,0.0326801751043,0.127646725713,0.686463017078,-0.367084054956,-1.5,-1.5,-1.5,0.0469970693333,0.00217183433333,-0.0178476971667,0.000148546073643,0.000194623815412,1.72191212294e-05,0.659133975459,0.585732222541,-0.528004959968,-1.5,-1.5,-1.5,0.216674806667,-43.000285,15.5268353333,0.00696784550969,0.013961024466,0.0228551642776,1.19798323299e-07,0.341870612927,-0.353585948785,-1.5,-1.5,-1.5,0.13616943,9.649307,1.8329926,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.010955811,-0.037109375,-0.0015563965,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.3173828,-42.93518,15.44342,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0
2,0.0,0.2558021525,9.63644775,1.887722,0.000289899751396,0.000468476168187,0.0574559315319,-0.0365167867835,-0.912204205455,-0.727993454302,-1.87530822476,-0.805263048212,-0.925119269735,-0.021419525325,-0.019096374475,0.008678436075,0.000318577678034,0.000531692337432,4.00356627556e-06,-0.829265672504,-0.652007167811,-0.211246364882,-0.933891464211,-1.16897854629,-1.1641953613,0.07286071875,-42.94242825,15.45066875,0.00795975231638,0.0183604368712,0.0890360396702,1.15317335806,0.109662282795,-0.822871579265,-0.667818930933,-0.997325806159,-0.993068843684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.240550995,9.573635,1.8682823,0.00485014084293,0.0007887414275,0.0310072351928,-0.932387293137,-0.388469756048,-1.00652036918,-0.869686657011,-1.0495041378,-0.764350281128,-0.00050353959175,-0.04536437975,-0.021865845,0.0006561124104,0.00105534723049,1.70199197316e-05,-0.78342304301,0.532554732084,0.882511172389,-0.981971122137,-0.97105524229,-0.824921743584,0.2468109125,-42.82150275,15.4151915,0.00621468620022,0.0292977096607,0.120013026135,-0.529362688447,-1.01655196504,-0.128478486854,-1.32449323046,-0.752287824325,-1.71030052418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.3048591675,9.5814095,1.773166675,0.000869863199379,0.00134509712025,0.0445371474688,-0.175983838998,-0.29088324104,-0.511834813548,-1.05796564125,-1.56571032749,-1.1093665469,-0.00782775915,-0.0475006115,-0.00094223025,0.0032723382713,0.00281610695083,6.61984525658e-05,-0.887041400015,-0.323998976557,-0.141853196923,-0.906937608932,-1.26583401065,-1.5755763154,0.2643585225,-43.05305475,15.535736,0.0209842986204,0.0837495548477,0.068154671,0.00959270188887,-0.484646764339,0.279255919022,-1.98446136082,-1.2854521736,-1.08325522581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.187309265,9.63315575,1.7019844,0.00430719497021,0.000856509297188,0.328294412871,-0.0681145022827,-0.0983432516375,-1.07543556969,-1.00494634067,-1.85576322036,-0.735915244873,-0.02722168025,-0.07667159975,0.00012588485,0.00765459639832,0.00537880437797,9.69473475635e-05,-0.530483793615,-0.0234633512781,-0.884142964999,-1.3175245907,-1.82317117502,-0.873375544641,0.1983642575,-42.80014125,15.44685375,0.0057765286386,0.0559661544967,0.0442416694422,0.406481039496,-1.15376639525,1.15448760787,-1.47657728941,-0.667393104058,-0.666829922382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.200767515,9.63794325,1.859005,0.00169113266961,0.00209395779519,0.0343552347641,-0.423790227295,-0.0753295544367,-0.354607695762,-0.973920456263,-1.7583082117,-0.988533482546,0.009273529125,-0.04414367725,-0.0076599121,0.00145907717212,0.00202494341083,0.000330177478982,-0.396986931671,0.753536287587,-0.663229882933,-1.292534838,-0.967935027309,-1.15459311623,0.244522095,-42.8489685,15.74783325,0.00653948554535,0.00426369438625,0.0609322438107,-0.507767438196,-1.6317183388e-13,0.004337769558,-1.35356095264,-1.0024551552,-1.78099757389,0.21511841,9.529663,2.4694824,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0,-0.007369995,-0.0023040771,0.003326416,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.12207031,-42.941284,15.449524,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0
7,0.0,0.2731513975,9.58290475,1.784832,0.00232197801885,0.000587801438688,0.108872897761,0.365910775071,1.04250170082,-0.983864222779,-0.97265738855,-0.764631745917,-0.785420782179,-0.02035141075,-0.062320709115,0.00378799435,0.00225682106107,0.00227912807394,4.11051288187e-05,-0.720627323772,0.0623203679228,-0.0291989924038,-1.06616889282,-1.64751251591,-1.82191735131,0.1499176025,-42.7799225,15.53916925,0.00177227774628,0.00568498885825,0.0175791264047,1.14942063349,0.52524757809,-0.661168334848,-0.670809418224,-1.32641624513,-0.900227738193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.13945389,9.64661775,1.646049475,0.000980137608602,0.00222318683319,0.115009447866,0.0813148476791,-0.688454922311,-0.35204465443,-1.10068329966,-1.10567927058,-0.97255580372,0.00408172675,-0.079715729,-0.003692627,0.00899569832771,0.0120574564904,0.000524968493294,-0.564589259829,0.0680709494892,-0.180989536845,-1.1442660259,-1.26057941583,-1.54683226175,0.168151855,-42.697448,15.2786256,0.0251265238627,0.028817484456,0.0631185466838,-0.370217225824,-0.0604938294276,0.123922318025,-1.53348688068,-1.48122494775,-1.67903615306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.335063935,9.62538525,1.6397667,0.00234694537647,0.00222773257719,0.0119516362371,0.403188204061,-0.858684428885,0.729255744703,-1.24193510963,-0.947111917569,-1.09327096591,0.011867523,-0.079715727,-0.01270294145,0.00475570187592,0.00582058936098,0.000162858091786,-0.131698237506,0.570824818027,-0.418047494924,-1.30395809935,-1.26551004388,-1.46360711142,-0.0740051275,-42.81730625,16.0583495,0.0598217597496,0.0909591907222,0.449691470593,0.492631056847,-0.704547883983,0.00111467810908,-0.997970551095,-0.928802776109,-1.97331917159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
