,target,lastAccelerometerValues[0]_mean_D,lastAccelerometerValues[1]_mean_D,lastAccelerometerValues[2]_mean_D,lastAccelerometerValues[0]_var_D,lastAccelerometerValues[1]_var_D,lastAccelerometerValues[2]_var_D,lastAccelerometerValues[0]_skew_D,lastAccelerometerValues[1]_skew_D,lastAccelerometerValues[2]_skew_D,lastAccelerometerValues[0]_kurtosis_D,lastAccelerometerValues[1]_kurtosis_D,lastAccelerometerValues[2]_kurtosis_D,lastGyroscopeValues[0]_mean_D,lastGyroscopeValues[1]_mean_D,lastGyroscopeValues[2]_mean_D,lastGyroscopeValues[0]_var_D,lastGyroscopeValues[1]_var_D,lastGyroscopeValues[2]_var_D,lastGyroscopeValues[0]_skew_D,lastGyroscopeValues[1]_skew_D,lastGyroscopeValues[2]_skew_D,lastGyroscopeValues[0]_kurtosis_D,lastGyroscopeValues[1]_kurtosis_D,lastGyroscopeValues[2]_kurtosis_D,lastMagnetometerValues[0]_mean_D,lastMagnetometerValues[1]_mean_D,lastMagnetometerValues[2]_mean_D,lastMagnetometerValues[0]_var_D,lastMagnetometerValues[1]_var_D,lastMagnetometerValues[2]_var_D,lastMagnetometerValues[0]_skew_D,lastMagnetometerValues[1]_skew_D,lastMagnetometerValues[2]_skew_D,lastMagnetometerValues[0]_kurtosis_D,lastMagnetometerValues[1]_kurtosis_D,lastMagnetometerValues[2]_kurtosis_D,lastAccelerometerValues[0]_mean_U,lastAccelerometerValues[1]_mean_U,lastAccelerometerValues[2]_mean_U,lastAccelerometerValues[0]_var_U,lastAccelerometerValues[1]_var_U,lastAccelerometerValues[2]_var_U,lastAccelerometerValues[0]_skew_U,lastAccelerometerValues[1]_skew_U,lastAccelerometerValues[2]_skew_U,lastAccelerometerValues[0]_kurtosis_U,lastAccelerometerValues[1]_kurtosis_U,lastAccelerometerValues[2]_kurtosis_U,lastGyroscopeValues[0]_mean_U,lastGyroscopeValues[1]_mean_U,lastGyroscopeValues[2]_mean_U,lastGyroscopeValues[0]_var_U,lastGyroscopeValues[1]_var_U,lastGyroscopeValues[2]_var_U,lastGyroscopeValues[0]_skew_U,lastGyroscopeValues[1]_skew_U,lastGyroscopeValues[2]_skew_U,lastGyroscopeValues[0]_kurtosis_U,lastGyroscopeValues[1]_kurtosis_U,lastGyroscopeValues[2]_kurtosis_U,lastMagnetometerValues[0]_mean_U,lastMagnetometerValues[1]_mean_U,lastMagnetometerValues[2]_mean_U,lastMagnetometerValues[0]_var_U,lastMagnetometerValues[1]_var_U,lastMagnetometerValues[2]_var_U,lastMagnetometerValues[0]_skew_U,lastMagnetometerValues[1]_skew_U,lastMagnetometerValues[2]_skew_U,lastMagnetometerValues[0]_kurtosis_U,lastMagnetometerValues[1]_kurtosis_U,lastMagnetometerValues[2]_kurtosis_U
0,72.0,0.45619965875,7.9892846,5.098892175,0.0585223012109,0.00073392739398,0.490166052595,-1.04851962996,0.0661586494958,-0.0321069753433,-0.761275312899,-1.00292662217,-1.90790475058,-0.085712433,-0.145847323175,0.003177643,0.0352266431532,0.0305269358266,0.000891505674424,-1.1492112884,-0.257537428729,1.1205806135,-0.670979709735,-1.63496701779,-0.690930350034,20.892334,-36.595154,-14.84680175,0.001654243526,0.004555291626,0.0943605356247,1.12912271044,-0.0338019859304,-0.00283152079826,-0.684898448614,-1.006123453,-1.85549026961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,80.0,0.79945373,8.0394166,5.6830414,0.00171089370897,0.00524042517864,0.0266280231914,-1.21953960043,1.24488220175,-1.39761767813,-0.126880907439,-0.101086592377,0.114993480972,0.0758209226,0.1604339614,-0.00546569816,0.0077034442558,0.0921390170067,0.0003162422675,1.38241456704,1.42584487652,0.5541738865,0.0985688994988,0.145362193293,-0.869683844686,20.76263425,-36.94190975,-15.11497525,0.0146055147112,0.00163606123519,0.0405374173362,0.803807817922,1.06032552274,-0.955183462364,-1.01384931064,-0.750315559884,-0.853677730828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.626091,8.05837975,4.812950175,0.010638468876,0.00706247890519,1.23848068447,-1.11629298301,1.10187444528,-1.06369265391,-0.694409751644,-0.702487770127,-0.746353323979,-0.0774688735,-0.11317062325,-0.016670227,0.0537035953823,0.0189771966967,1.94763404499e-05,-1.1252268498,-1.08509018021,0.772604470294,-0.689841575926,-0.727229288933,-0.965236014418,21.038437,-36.700821,-15.24276725,0.0016384011645,0.0263650415085,0.0543442881302,-1.12461743242,0.0915668063794,0.991156797238,-0.687754915224,-1.87885720331,-0.765663734694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8.0,0.519967652,8.1504455,5.18102718,0.0187820316065,0.0031366228218,0.24500492226,-0.406199704566,0.133662619344,-0.487640782823,-1.40075890733,-1.04970175472,-1.62202351062,-0.0275268558,0.0543853751,-0.0167022708,0.0126352604931,0.00581982052133,0.00124208571088,-0.928200641414,0.381346096487,1.05299163426,-0.750204908794,-1.68493513946,-0.489201230402,21.40045175,-36.78321875,-15.07225025,0.0120815564812,0.0186897034337,0.0105081283857,-0.0678028163207,0.358039467579,-0.460213892205,-1.33427849596,-1.16468088205,-1.41057970574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,135.0,0.830375675,7.999755675,5.621727075,0.0116201205055,0.00119557389132,0.0194849660855,-1.02729782817,1.11259557859,0.531802211919,-0.747095491514,-0.698237225319,-0.961712771947,0.10089874325,-0.070407868,-0.0192680360575,0.018289313566,0.00820397670472,0.000880868725378,1.1416689723,-1.11963443673,-0.660319272393,-0.676194699721,-0.696150637499,-1.11172812403,21.05483975,-36.75918525,-14.277649,0.0141625188187,0.00940692062269,0.077212516436,-0.783738420557,0.502835636655,-0.816606507084,-1.03555097471,-0.945788093705,-0.911822413902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,143.0,0.5934905975,8.079315125,5.9976959,0.0064935024001,0.000336025326047,0.381368923899,0.479450899703,-0.238921042554,1.13876299183,-1.09993176974,-1.02045922716,-0.678153637336,0.05218887335,0.107959748,0.02149963375,0.0174008786495,0.0233841744718,5.03612664914e-05,1.12670842577,1.15336737734,-0.717218690942,-0.688185005161,-0.66767388685,-0.980362538813,21.2521364,-36.717834,-14.4705202,0.0103427165494,0.0195779241852,0.140149651333,0.891407781788,-0.739851854684,0.993602348742,-0.526639329083,-0.85750847386,-0.355718930285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9.0,0.598775243333,8.17572533333,5.18134556667,0.0038845581844,0.00287187068889,0.134027166627,-0.706908397404,0.639990006051,-0.705996205882,-1.5,-1.5,-1.5,-0.0350646962,-0.0468953453333,-0.0318908686667,0.00296359257915,0.00282529282407,2.89683203291e-05,-0.639351893048,-0.652582888545,-0.646222455543,-1.5,-1.5,-1.5,21.286011,-36.6800943333,-14.4546506667,0.014123395622,0.0724714828016,0.00327981350822,0.281744463653,0.492206786766,0.697707460765,-1.5,-1.5,-1.5,-0.043304443,8.073639,5.3839417,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0,-0.22665405,-0.18432617,0.010665894,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0,21.350098,-36.853027,-15.101624,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0
7,17.0,0.319213868,8.2035644,5.18246156,0.00503792916584,0.00482843963464,0.132989518441,-1.07984196577,0.986288901042,-1.29549899936,-0.359337788652,-0.223575667816,0.0293327709048,-0.0245941165,0.0493804918,-0.0386932374,0.00403800186332,0.00810386174989,0.00114490113726,-1.31163515253,0.815818630293,0.646745528852,0.0190815176111,-0.866331914716,-0.627954171657,21.4715578,-36.6491698,-14.9353028,0.00161175205376,0.011990405173,0.0152755341674,1.46946460328,0.3643450861,0.27309251068,0.206846983062,-1.38776067442,-1.05143944382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,18.0,0.5085487375,8.14182675,5.1694794,0.00304828400114,0.00261882174719,0.376181679714,-1.01948611502,-0.638767025587,-1.11360963505,-0.788952456284,-1.02110320762,-0.695064106327,-0.0104255674825,-0.032230377,-0.0214080815,0.00185015732867,0.00661346130779,6.019616107e-05,-0.995497305403,-1.10733200665,-0.99710260255,-0.799040580265,-0.702250981204,-0.764295102049,21.40617375,-36.5974425,-15.13290425,0.0126512584467,0.0320008046612,0.0165513627247,0.0390570386902,-0.271927422919,-0.656630447908,-1.40936272218,-1.43370081883,-0.901868388226,0.38980103,8.168152,5.680649,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0,-0.29631042,-0.20753479,-0.0027770996,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0,,,,,,,,,,,,
9,26.0,0.360134886,8.2612304,5.12168582,0.0100517116634,0.0159193574122,0.322967488677,0.496596897512,1.23100695359,-1.37070620394,-1.49028813002,-0.174949789961,0.068675862513,-0.0458557126,0.0688049318,0.0050476076,0.00642460188732,0.0076955629679,0.000428687457901,-1.33218384192,0.997413479133,-0.341457376674,-0.00376766493314,-0.473927491482,-0.922086439468,21.5701294,-36.644592,-15.0344849,0.00855646041064,0.0182414936616,0.0261673833442,0.8959822473,0.408195764788,0.733624622882,-0.259703454618,-1.8328775922,-0.648202512737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
